date,price
1524672900,8868.3517382
1524673200,8891.12197171
1524673500,8870.95787018
1524673800,8888.79276879
1524674100,8899.95568968
1524674400,8917.0
1524674700,8893.81944842
1524675000,8910.08788749
1524675300,8924.11059153
1524675600,8929.9
1524675900,8967.77591418
1524676200,8967.9439434
1524676500,8944.42907471
1524676800,8961.00217925
1524677100,9026.99999933
1524677400,9042.36768261
1524677700,9029.73633594
1524678000,9085.47802829
1524678300,9050.63
1524678600,9057.99767051
1524678900,9043.51822674
1524679200,9026.8431709
1524679500,8990.12
1524679800,9001.9078352
1524680100,8989.28846565
1524680400,8996.07861973
1524680700,9023.25569033
1524681000,9010.0
1524681300,9023.47029629
1524681600,9020.45854957
1524681900,9042.0
1524682200,8990.0
1524682500,8980.98339349
1524682800,8994.42877041
1524683100,9019.48940896
1524683400,9000.0
1524683700,9010.0
1524684000,8990.79999989
1524684300,8981.45247998
1524684600,8964.99999999
1524684900,9000.0
1524685200,8984.64
1524685500,8974.46628144
1524685800,8995.0
1524686100,8957.02197171
1524686400,9043.0
1524686700,9065.63
1524687000,9068.0
1524687300,9068.99999967
1524687600,9054.99999999
1524687900,9055.06628216
1524688200,9060.49999999
1524688500,9076.87080653
1524688800,9080.93555318
1524689100,9083.59999963
1524689400,9079.89810822
1524689700,9070.0
1524690000,9094.0
1524690300,9095.69614089
1524690600,9093.52266988
1524690900,9105.02334806
1524691200,9137.20473149
1524691500,9127.86213786
1524691800,9135.72884183
1524692100,9126.73540246
1524692400,9137.64551734
1524692700,9129.90154554
1524693000,9149.0
1524693300,9165.0
1524693600,9175.6299992
1524693900,9175.564084
1524694200,9126.7
1524694500,9099.15524303
1524694800,9109.0
1524695100,9107.48754675
1524695400,9116.79489294
1524695700,9108.65290554
1524696000,9086.5
1524696300,9031.5
1524696600,9012.04991225
1524696900,8951.02235
1524697200,8994.59527117
1524697500,8904.09058979
1524697800,8890.58346664
1524698100,8889.04394341
1524698400,8891.34748658
1524698700,8859.11399987
1524699000,8874.99999992
1524699300,8850.8426584
1524699600,8806.32075006
1524699900,8831.36605087
1524700200,8867.9
1524700500,8860.0240739
1524700800,8800.0
1524701100,8798.82954458
1524701400,8830.0
1524701700,8801.0
1524702000,8768.58155882
1524702300,8685.0
1524702600,8685.04624397
1524702900,8794.8
1524703200,8754.07755428
1524703500,8757.0545534
1524703800,8780.00000001
1524704100,8820.02427182
1524704400,8750.00000035
1524704700,8740.20176634
1524705000,8797.57302896
1524705300,8797.50456768
1524705600,8816.59999999
1524705900,8851.02180617
1524706200,8811.05162514
1524706500,8839.97589625
1524706800,8820.17682318
1524707100,8780.04443527
1524707400,8760.0
1524707700,8754.0905896
1524708000,8791.8974837
1524708300,8800.00000004
1524708600,8813.54967905
1524708900,8813.54967906
1524709200,8825.08335548
1524709500,8833.66430777
1524709800,8833.66430777
1524710100,8846.11725023
1524710400,8888.6664995
1524710700,8886.35605634
1524711000,8865.20332889
1524711300,8850.99999946
1524711600,8846.0
1524711900,8869.09999999
1524712200,8888.41647303
1524712500,8881.1188807
1524712800,8891.505
1524713100,8872.02061061
1524713400,8817.29648567
1524713700,8791.85301901
1524714000,8824.0
1524714300,8817.84426271
1524714600,8797.99999999
1524714900,8817.84426239
1524715200,8851.9981031
